"Security Code","Security Name","Group","LTP","Chg","% Chg"
543220,"MAXHEALTH","B",270.95,2.65,1
500260,"RAMCOCEM","A",1128.35,11,0.99
531233,"RASIELEC","X",6.45,0.06,0.99
540047,"DBL","A",573.95,5.6,0.99
540125,"RADHIKAJWE","M",41.85,0.4,0.99
500227,"JINDALPOLY","A",1008,9.75,0.98
500040,"CENTURYTEX","A",732.95,6.9,0.97
523204,"ABAN","T",41.95,0.4,0.97
532218,"SOUTHBANK","A",12.91,0.12,0.97
511108,"SHIVTEX","B",203,1.8,0.96
538683,"NETFSENSEX","B",578.84,5.48,0.96
543228,"ROUTE","B",2175.3,20.4,0.96
500368,"RUCHISOYA","B",1126.6,10.55,0.95
503657,"VEERENRGY","X",14.3,0.13,0.95
522014,"UNIDT","B",332.3,3.1,0.95
532683,"AIAENG","A",2081,19.25,0.95
534755,"TRIOMERC","X",3.29,0.03,0.95
539542,"LUXIND","A",3716.75,34.55,0.95
539889,"PARAGMILK","A",144.8,1.35,0.95
500670,"GNFC","A",366.3,3.35,0.94
507717,"DHANUKA","A",1006,9.35,0.94
514300,"PIONEEREMB","B",61.25,0.55,0.94
520021,"OMAXAUTO","B",71.3,0.65,0.94
539288,"AVI","XT",44.7,0.4,0.94
542650,"METROPOLIS","A",2875.4,26.35,0.94
500298,"NATPEROX","A",2200,20.2,0.93
540401,"MAXIMUS","B",106.9,0.95,0.93
543181,"11AGG","B",15.24,0.13,0.93
500300,"GRASIM","A",1578.7,14.3,0.92
532435,"SANINFRA","X",145,1.3,0.92
540750,"IEX","A",418.7,3.75,0.92
509486,"CAPRIHANS","X",165,1.45,0.91
540376,"DMART","A",3363.6,30.1,0.91
524109,"KABRAEXTRU","B",208.3,1.85,0.9
526043,"POLYCHMP","X",59.5,0.5,0.9
530499,"AKCAPIT","X",504,4.35,0.9
538891,"MCLOUD","X",67.7,0.6,0.9
500674,"SANOFI","A",8040,70.55,0.89
500878,"CEATLTD","A",1477.2,12.75,0.89
538961,"GENUSPAPER","B",12.84,0.11,0.89
541450,"ADANIGREEN","T",1020,8.9,0.89
500211,"INSILCO","XT",8.15,0.07,0.88
526725,"SANDESH","B",959.2,8.05,0.88
532783,"DAAWAT","A",81.2,0.7,0.88
539800,"CHDCHEM","T",9.56,0.08,0.88
541972,"SETFSN50","B",461.99,4,0.88
532873,"HDIL","Z",5.95,0.05,0.87
501833,"CHOWGULSTM","XT",8.53,0.07,0.86
506687,"TRANSPEK","X",1939,16.25,0.86
511601,"YASHMGM","X",10.85,0.09,0.86
531112,"BALUFORGE","XT",252,2.15,0.86
542066,"ATGL","T",915,7.7,0.86
543283,"BARBEQUE","B",933.7,7.8,0.86
500575,"VOLTAS","A",1061.35,8.85,0.85
532365,"DSSL","B",156.95,1.3,0.85
537536,"DENISCHEM","X",54.75,0.45,0.85
539837,"RPEL","B",508.9,4.25,0.85
500488,"ABBOTINDIA","A",17600,145.9,0.84
524156,"TCMLMTD","X",66.9,0.55,0.84
533333,"FCL","B",97.95,0.8,0.84
538537,"OMANSH","XT",1.24,0.01,0.84
542725,"SBC","M",42.15,0.35,0.84
500113,"SAIL","A",128.45,1.05,0.83
532944,"ONMOBILE","B",147.5,1.2,0.83
500410,"ACC","A",2135,17.25,0.82
500875,"ITC","A",209.7,1.7,0.82
508486,"HAWKINCOOK","A",5965,48.3,0.82
516064,"ARROWGREEN","T",157.4,1.25,0.82
531281,"PGINDST","XT",5,0.04,0.82
541019,"HGINFRA","A",506.3,4.05,0.82
513528,"GLITTEKG","XT",2.6,0.02,0.81
520123,"ABCINDQ","X",94,0.75,0.81
530459,"VALSONQ","X",19.1,0.15,0.81
532721,"VISASTEEL","T",10.24,0.08,0.81
532754,"GMRINFRA","A",31.45,0.25,0.81
517385,"SYMPHONY","A",1083.4,8.55,0.8
523792,"MAZDALTD","B",623,4.9,0.8
524703,"SANDUPHQ","X",58,0.45,0.8
590024,"FACT","B",142,1.1,0.8
523489,"CMMHOSP","XT",14.69,0.11,0.79
533638,"FLEXITUFF","T",26.6,0.2,0.79
539378,"SML","XT",31.75,0.25,0.79
539527,"CREATIVE","X",358.8,2.8,0.79
539597,"JSLHISAR","A",232.25,1.8,0.79
542919,"ARTEMISMED","T",359.9,2.75,0.78
500271,"MFSL","A",1089.75,8.15,0.77
504036,"HIRECT","B",174.4,1.3,0.77
523144,"MEDICAPQ","X",47.8,0.35,0.77
524280,"KOPRAN","T",235.7,1.75,0.77
530915,"JRFOODS","XT",5.45,0.04,0.77
500084,"CESC","A",846.05,6.3,0.76
517334,"MOTHERSUMI","A",244.95,1.85,0.76
532443,"CERA","A",4503.25,33.8,0.76
532726,"GALLANTT","B",80.8,0.6,0.76
540133,"ICICIPRULI","A",630.15,4.75,0.76
500170,"GTNINDS","X",21.05,0.15,0.75
524715,"SUNPHARMA","A",695.45,5.15,0.75
535601,"SREEL","B",193,1.4,0.75
523283,"SUPERHOUSE","B",167.05,1.2,0.74
539658,"TEAMLEASE","A",3872.6,28.4,0.74
539787,"HCG","A",246.55,1.75,0.74
500055,"TATASTLBSL","B",90.4,0.65,0.73
515030,"ASAHIINDIA","A",386.65,2.75,0.73
505681,"BIMETAL","X",450,3.15,0.72
526117,"SHERVANI","X",309.9,2.2,0.72
532439,"OLECTRA","T",249,1.75,0.72
532922,"EDELWEISS","A",93.5,0.65,0.72
541770,"CREDITACC","A",757.7,5.3,0.72
507912,"LKPFIN","X",118,0.8,0.71
531814,"TIRSARJ","X",7.29,0.05,0.7
539767,"MNIL","X",8.9,0.06,0.7
531335,"ZYDUSWELL","A",2287.8,15.35,0.69
532811,"AHLUCONT","A",403.25,2.75,0.69
539287,"ORTINLAABS","B",37.7,0.25,0.69
539399,"BELLACASA","B",137.85,0.9,0.69
531633,"LINCOPH","A",371.95,2.5,0.68
541304,"INDOUS","M",64.2,0.4,0.68
542760,"SWSOLAR","A",287,1.9,0.68
537785,"RACE","M",227,1.5,0.67
500650,"EXCELINDUS","A",1249.1,8.05,0.66
503811,"SIYSIL","B",424.95,2.7,0.66
508933,"AYMSYNTEX","B",86.9,0.55,0.66
539523,"ALKEM","A",3603.3,22,0.66
517467,"MARSONS","Z",9.65,0.06,0.65
530973,"ALFAICA","XT",32,0.2,0.65
532509,"SUPRAJIT","A",319.6,2.05,0.65
500182,"HEROMOTOCO","A",2909.65,18.55,0.64
500411,"THERMAX","A",1446.5,9.1,0.64
500102,"BALLARPUR","Z",1.63,0.01,0.63
526971,"DHOOTIN","X",81.4,0.5,0.63
531439,"GOLDTECH","B",12.86,0.08,0.63
541403,"DOLLAR","A",321.3,2,0.63
500117,"DCW","B",41.7,0.25,0.62
500228,"JSWSTEEL","A",707.3,4.3,0.62
500510,"LT","A",1622.2,10.05,0.62
505712,"HIMTEK","X",119.75,0.7,0.61
506285,"BAYERCROP","A",6079.95,36.15,0.61
513519,"PITTIENG","B",152.5,0.9,0.61
526407,"RPIL","X",100.4,0.6,0.61
542802,"GALACTICO","M",83,0.5,0.61
500086,"EXIDEIND","A",184.65,1.1,0.6
501700,"INDIANVSH","XT",17.4,0.1,0.6
532714,"KEC","A",420.4,2.5,0.6
532955,"RECLTD","A",152.6,0.9,0.6
533306,"SUMMITSEC","B",663.3,3.9,0.6
539428,"TEJNAKSH","B",78,0.45,0.6
539636,"PRECAM","B",93.5,0.55,0.6
540777,"HDFCLIFE","A",702,4.15,0.6
512393,"SHARDUL","X",69.9,0.4,0.59
526721,"NICCOPAR","XT",44.2,0.25,0.59
539516,"HDFCNIFETF","B",170.51,1,0.59
500039,"BANCOINDIA","B",165.75,0.95,0.58
505729,"SINGER","X",70,0.4,0.58
522241,"MMFL","B",758.45,4.3,0.58
526137,"SHETR","X",35.9,0.2,0.58
533001,"SOMICONV","B",60.95,0.35,0.58
539031,"SETFBSE100","B",170.99,0.98,0.58
514167,"GANECOS","B",515,2.9,0.57
540704,"MATRIMONY","B",1119.8,6.3,0.57
